row_id,movie_name,rating,votes,meta_score,genre0,genre1,genre2,genre3,pr_rating,year,duration,cast0,cast1,cast2,cast3,cast4,director,number_rating,weekly_rank,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
0,Leave the World Behind,6.5,90000.0,67.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,2.3,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha''la",Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la,Sam Esmail,4.0,1.0,106200000.0,44900000.0,2.0
27,Chicken Run: Dawn of the Nugget,6.5,6300.0,63.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,PG,2023,1.683,"Thandiwe Newton, Zachary Levi, Bella Ramsey, Imelda Staunton",Thandiwe Newton, Zachary Levi, Bella Ramsey, Imelda Staunton,Sam Fell,2.0,2.0,20300000.0,11900000.0,1.0
23,Leo,7.0,21000.0,65.0,"Animation, Comedy, Family",Animation, Comedy, Family,PG,2023,1.7,"Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander",Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander,Robert MarianettiRobert SmigelDavid Wachtenheim,2.0,3.0,16800000.0,9400000.0,4.0
30,The Super Mario Bros. Movie,7.0,213000.0,46.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,PG,2023,1.533,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black,Aaron HorvathMichael JelenicPierre Leduc,2.0,5.0,13700000.0,8900000.0,3.0
92,Underwater,5.9,93000.0,48.0,"Action, Horror, Sci-Fi",Action, Horror, Sci-Fi,PG-13,2020,1.583,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller",Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller,William Eubank,3.0,6.0,9200000.0,5800000.0,1.0
428,Old,5.8,154000.0,55.0,"Drama, Horror, Mystery",Drama, Horror, Mystery,PG-13,2021,1.8,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff",Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff,M. Night Shyamalan,3.0,7.0,10000000.0,5600000.0,1.0
0,Leave the World Behind,6.5,90000.0,67.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,2.3,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha''la",Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la,Sam Esmail,4.0,1.0,98700000.0,41700000.0,1.0
23,Leo,7.0,21000.0,65.0,"Animation, Comedy, Family",Animation, Comedy, Family,PG,2023,1.7,"Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander",Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander,Robert MarianettiRobert SmigelDavid Wachtenheim,2.0,3.0,25400000.0,14200000.0,3.0
30,The Super Mario Bros. Movie,7.0,213000.0,46.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,PG,2023,1.533,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black,Aaron HorvathMichael JelenicPierre Leduc,2.0,4.0,20300000.0,13200000.0,2.0
357,Nobody,7.4,312000.0,64.0,"Action, Crime, Drama",Action, Crime, Drama,R,2021,1.533,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd",Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd,Ilya Naishuller,4.0,6.0,10600000.0,6900000.0,1.0
355,The Fast and the Furious,6.8,412000.0,58.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2001,1.767,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster,Rob Cohen,3.0,8.0,11200000.0,6300000.0,1.0
1358,The Fate of the Furious,6.6,249000.0,56.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2017,2.267,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez,F. Gary Gray,3.0,9.0,13700000.0,6000000.0,1.0
23,Leo,7.0,21000.0,65.0,"Animation, Comedy, Family",Animation, Comedy, Family,PG,2023,1.7,"Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander",Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander,Robert MarianettiRobert SmigelDavid Wachtenheim,2.0,1.0,42100000.0,23600000.0,2.0
1333,Sonic the Hedgehog 2,6.5,83000.0,47.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,PG,2022,2.033,"James Marsden, Jim Carrey, Ben Schwartz, Tika Sumpter",James Marsden, Jim Carrey, Ben Schwartz, Tika Sumpter,Jeff Fowler,2.0,5.0,8200000.0,4000000.0,1.0
29,The Killer,6.8,140000.0,73.0,"Action, Adventure, Crime",Action, Adventure, Crime,R,2023,1.967,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard,David Fincher,4.0,7.0,7100000.0,3600000.0,4.0
30,The Super Mario Bros. Movie,7.0,213000.0,46.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,PG,2023,1.533,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black,Aaron HorvathMichael JelenicPierre Leduc,2.0,9.0,4800000.0,3100000.0,1.0
135,The Christmas Chronicles,7.0,81000.0,52.0,"Adventure, Comedy, Family",Adventure, Comedy, Family,PG,2018,1.733,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson",Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson,Clay Kaytis,2.0,10.0,5300000.0,3000000.0,7.0
23,Leo,7.0,21000.0,65.0,"Animation, Comedy, Family",Animation, Comedy, Family,PG,2023,1.7,"Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander",Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander,Robert MarianettiRobert SmigelDavid Wachtenheim,2.0,1.0,61700000.0,34600000.0,1.0
29,The Killer,6.8,140000.0,73.0,"Action, Adventure, Crime",Action, Adventure, Crime,R,2023,1.967,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard,David Fincher,4.0,3.0,17500000.0,8800000.0,3.0
805,Jules,6.8,7100.0,57.0,"Comedy, Drama, Sci-Fi",Comedy, Drama, Sci-Fi,PG-13,2023,1.45,"Ben Kingsley, Harriet Sansom Harris, Jane Curtin, Teddy Cañez",Ben Kingsley, Harriet Sansom Harris, Jane Curtin, Teddy Cañez,Marc Turtletaub,3.0,5.0,6700000.0,4600000.0,1.0
135,The Christmas Chronicles,7.0,81000.0,52.0,"Adventure, Comedy, Family",Adventure, Comedy, Family,PG,2018,1.733,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson",Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson,Clay Kaytis,2.0,7.0,5900000.0,3400000.0,6.0
993,Lone Survivor,7.5,303000.0,60.0,"Action, Biography, Drama",Action, Biography, Drama,R,2013,2.017,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster,Peter Berg,4.0,9.0,5500000.0,2700000.0,2.0
29,The Killer,6.8,140000.0,73.0,"Action, Adventure, Crime",Action, Adventure, Crime,R,2023,1.967,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard,David Fincher,4.0,1.0,44500000.0,22300000.0,2.0
668,F9: The Fast Saga,5.2,158000.0,58.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2021,2.383,"Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson",Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson,Justin Lin,3.0,5.0,10200000.0,4300000.0,4.0
993,Lone Survivor,7.5,303000.0,60.0,"Action, Biography, Drama",Action, Biography, Drama,R,2013,2.017,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster,Peter Berg,4.0,6.0,8000000.0,4000000.0,1.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,7.0,5900000.0,3000000.0,4.0
29,The Killer,6.8,140000.0,73.0,"Action, Adventure, Crime",Action, Adventure, Crime,R,2023,1.967,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard,David Fincher,4.0,1.0,55700000.0,27900000.0,1.0
668,F9: The Fast Saga,5.2,158000.0,58.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2021,2.383,"Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson",Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson,Justin Lin,3.0,3.0,24900000.0,10400000.0,3.0
59,Spider-Man: Across the Spider-Verse,8.6,314000.0,86.0,"Animation, Action, Adventure",Animation, Action, Adventure,PG,2023,2.333,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,Joaquim Dos SantosKemp PowersJustin K. Thompson,2.0,7.0,10200000.0,4400000.0,2.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,10.0,6700000.0,3400000.0,3.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,3.0,17300000.0,8800000.0,2.0
59,Spider-Man: Across the Spider-Verse,8.6,314000.0,86.0,"Animation, Action, Adventure",Animation, Action, Adventure,PG,2023,2.333,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,Joaquim Dos SantosKemp PowersJustin K. Thompson,2.0,4.0,20100000.0,8600000.0,1.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,4.0,13200000.0,6700000.0,1.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,7.0,7900000.0,3500000.0,5.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,4.0,15800000.0,7000000.0,4.0
161,Fair Play,6.4,30000.0,73.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,1.883,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer,Chloe Domont,4.0,6.0,7300000.0,3800000.0,3.0
1868,Spy Kids,5.6,125000.0,71.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,PG,2001,1.467,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino",Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino,Robert Rodriguez,2.0,9.0,5400000.0,3700000.0,1.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,1.0,32300000.0,14200000.0,3.0
161,Fair Play,6.4,30000.0,73.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,1.883,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer,Chloe Domont,4.0,2.0,26900000.0,14000000.0,2.0
1949,American Made,7.1,203000.0,65.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2017,1.917,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons,Doug Liman,4.0,4.0,9300000.0,4900000.0,1.0
1500,Ma,5.6,59000.0,53.0,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,R,2019,1.65,"Octavia Spencer, Diana Silvers, Juliette Lewis, McKaley Miller",Octavia Spencer, Diana Silvers, Juliette Lewis, McKaley Miller,Tate Taylor,4.0,6.0,5800000.0,3500000.0,1.0
1590,Casper,6.2,145000.0,49.0,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,PG,1995,1.667,"Bill Pullman, Christina Ricci, Cathy Moriarty, Eric Idle",Bill Pullman, Christina Ricci, Cathy Moriarty, Eric Idle,Brad Silberling,2.0,7.0,5400000.0,3200000.0,1.0
509,The Lost City,6.1,148000.0,60.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,PG-13,2022,1.867,"Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da''Vine Joy Randolph",Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph,Aaron NeeAdam Nee,3.0,9.0,5800000.0,3100000.0,1.0
300,Get Out,7.8,674000.0,85.0,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,R,2017,1.733,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener",Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener,Jordan Peele,4.0,10.0,5300000.0,3100000.0,2.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,1.0,45100000.0,19900000.0,2.0
161,Fair Play,6.4,30000.0,73.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,1.883,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer,Chloe Domont,4.0,2.0,24200000.0,12600000.0,1.0
1529,Infinite,5.5,59000.0,28.0,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,PG-13,2021,1.767,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O''Brien",Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien,Antoine Fuqua,3.0,5.0,8600000.0,4900000.0,1.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,1.0,40200000.0,17700000.0,1.0
671,In Time,6.7,438000.0,53.0,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,PG-13,2011,1.817,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde,Andrew Niccol,3.0,9.0,5400000.0,3000000.0,3.0
